id,timestamp,season,hour,weekday_name,month_name
1,2017-01-01 00:00:00,spring,00,Sunday,January
2,2017-01-01 01:00:00,spring,01,Sunday,January
3,2017-01-01 02:00:00,spring,02,Sunday,January
4,2017-01-01 03:00:00,spring,03,Sunday,January
5,2017-01-01 04:00:00,spring,04,Sunday,January
6,2017-01-01 05:00:00,spring,05,Sunday,January
7,2017-01-01 06:00:00,spring,06,Sunday,January
8,2017-01-01 07:00:00,spring,07,Sunday,January
9,2017-01-01 08:00:00,spring,08,Sunday,January
10,2017-01-01 09:00:00,spring,09,Sunday,January
11,2017-01-01 10:00:00,spring,10,Sunday,January
12,2017-01-01 11:00:00,spring,11,Sunday,January
13,2017-01-01 12:00:00,spring,12,Sunday,January
14,2017-01-01 13:00:00,spring,13,Sunday,January
15,2017-01-01 14:00:00,spring,14,Sunday,January
16,2017-01-01 15:00:00,spring,15,Sunday,January
17,2017-01-01 16:00:00,spring,16,Sunday,January
18,2017-01-01 17:00:00,spring,17,Sunday,January
19,2017-01-01 18:00:00,spring,18,Sunday,January
20,2017-01-01 19:00:00,spring,19,Sunday,January
21,2017-01-01 20:00:00,spring,20,Sunday,January
22,2017-01-01 21:00:00,spring,21,Sunday,January
23,2017-01-01 22:00:00,spring,22,Sunday,January
24,2017-01-01 23:00:00,spring,23,Sunday,January
25,2017-01-02 00:00:00,spring,00,Monday,January
26,2017-01-02 01:00:00,spring,01,Monday,January
27,2017-01-02 02:00:00,spring,02,Monday,January
28,2017-01-02 03:00:00,spring,03,Monday,January
29,2017-01-02 04:00:00,spring,04,Monday,January
30,2017-01-02 06:00:00,spring,06,Monday,January
31,2017-01-02 07:00:00,spring,07,Monday,January
32,2017-01-02 08:00:00,spring,08,Monday,January
33,2017-01-02 09:00:00,spring,09,Monday,January
34,2017-01-02 10:00:00,spring,10,Monday,January
35,2017-01-02 11:00:00,spring,11,Monday,January
36,2017-01-02 12:00:00,spring,12,Monday,January
37,2017-01-02 13:00:00,spring,13,Monday,January
38,2017-01-02 14:00:00,spring,14,Monday,January
39,2017-01-02 15:00:00,spring,15,Monday,January
40,2017-01-02 16:00:00,spring,16,Monday,January
41,2017-01-02 17:00:00,spring,17,Monday,January
42,2017-01-02 18:00:00,spring,18,Monday,January
43,2017-01-02 19:00:00,spring,19,Monday,January
44,2017-01-02 20:00:00,spring,20,Monday,January
45,2017-01-02 21:00:00,spring,21,Monday,January
46,2017-01-02 22:00:00,spring,22,Monday,January
47,2017-01-02 23:00:00,spring,23,Monday,January
48,2017-01-03 00:00:00,spring,00,Tuesday,January
49,2017-01-03 01:00:00,spring,01,Tuesday,January
50,2017-01-03 04:00:00,spring,04,Tuesday,January
51,2017-01-03 05:00:00,spring,05,Tuesday,January
52,2017-01-03 06:00:00,spring,06,Tuesday,January
53,2017-01-03 07:00:00,spring,07,Tuesday,January
54,2017-01-03 08:00:00,spring,08,Tuesday,January
55,2017-01-03 09:00:00,spring,09,Tuesday,January
56,2017-01-03 10:00:00,spring,10,Tuesday,January
57,2017-01-03 11:00:00,spring,11,Tuesday,January
58,2017-01-03 12:00:00,spring,12,Tuesday,January
59,2017-01-03 13:00:00,spring,13,Tuesday,January
60,2017-01-03 14:00:00,spring,14,Tuesday,January
61,2017-01-03 15:00:00,spring,15,Tuesday,January
62,2017-01-03 16:00:00,spring,16,Tuesday,January
63,2017-01-03 17:00:00,spring,17,Tuesday,January
64,2017-01-03 18:00:00,spring,18,Tuesday,January
65,2017-01-03 19:00:00,spring,19,Tuesday,January
66,2017-01-03 20:00:00,spring,20,Tuesday,January
67,2017-01-03 21:00:00,spring,21,Tuesday,January
68,2017-01-03 22:00:00,spring,22,Tuesday,January
69,2017-01-03 23:00:00,spring,23,Tuesday,January
70,2017-01-04 00:00:00,spring,00,Wednesday,January
71,2017-01-04 01:00:00,spring,01,Wednesday,January
72,2017-01-04 02:00:00,spring,02,Wednesday,January
73,2017-01-04 04:00:00,spring,04,Wednesday,January
